coverage,accuracy_shifted
0.3792,0.9958
0.3797,0.9958
0.3803,0.9958
0.3808,0.9958
0.3813,0.9959
0.3819,0.9959
0.3824,0.9959
0.3829,0.9959
0.3834,0.9959
0.3840,0.9959
0.3845,0.9959
0.3850,0.9959
0.3855,0.9959
0.3861,0.9959
0.3866,0.9959
0.3871,0.9959
0.3877,0.9959
0.3882,0.9959
0.3887,0.9959
0.3892,0.9959
0.3898,0.9959
0.3903,0.9959
0.3908,0.9960
0.3914,0.9960
0.3919,0.9960
0.3924,0.9946
0.3929,0.9946
0.3935,0.9946
0.3940,0.9933
0.3945,0.9933
0.3950,0.9933
0.3956,0.9920
0.3961,0.9920
0.3966,0.9920
0.3972,0.9920
0.3977,0.9920
0.3982,0.9921
0.3987,0.9921
0.3993,0.9921
0.3998,0.9921
0.4003,0.9921
0.4008,0.9921
0.4014,0.9921
0.4019,0.9921
0.4024,0.9921
0.4030,0.9921
0.4035,0.9922
0.4040,0.9922
0.4045,0.9922
0.4051,0.9922
0.4056,0.9909
0.4061,0.9909
0.4066,0.9909
0.4072,0.9909
0.4077,0.9909
0.4082,0.9910
0.4088,0.9910
0.4093,0.9910
0.4098,0.9910
0.4103,0.9910
0.4109,0.9910
0.4114,0.9910
0.4119,0.9910
0.4124,0.9910
0.4130,0.9911
0.4135,0.9911
0.4140,0.9911
0.4146,0.9911
0.4151,0.9911
0.4156,0.9911
0.4161,0.9911
0.4167,0.9911
0.4172,0.9912
0.4177,0.9912
0.4182,0.9912
0.4188,0.9912
0.4193,0.9899
0.4198,0.9899
0.4204,0.9887
0.4209,0.9887
0.4214,0.9887
0.4219,0.9888
0.4225,0.9888
0.4230,0.9888
0.4235,0.9888
0.4241,0.9888
0.4246,0.9888
0.4251,0.9888
0.4256,0.9888
0.4262,0.9889
0.4267,0.9889
0.4272,0.9889
0.4277,0.9889
0.4283,0.9877
0.4288,0.9877
0.4293,0.9877
0.4299,0.9877
0.4304,0.9877
0.4309,0.9878
0.4314,0.9878
0.4320,0.9878
0.4325,0.9878
0.4330,0.9878
0.4335,0.9878
0.4341,0.9878
0.4346,0.9879
0.4351,0.9879
0.4357,0.9879
0.4362,0.9879
0.4367,0.9879
0.4372,0.9879
0.4378,0.9880
0.4383,0.9880
0.4388,0.9880
0.4393,0.9880
0.4399,0.9880
0.4404,0.9880
0.4409,0.9880
0.4415,0.9881
0.4420,0.9881
0.4425,0.9881
0.4430,0.9881
0.4436,0.9881
0.4441,0.9881
0.4446,0.9881
0.4451,0.9882
0.4457,0.9882
0.4462,0.9882
0.4467,0.9882
0.4473,0.9882
0.4478,0.9882
0.4483,0.9882
0.4488,0.9882
0.4494,0.9883
0.4499,0.9883
0.4504,0.9883
0.4509,0.9883
0.4515,0.9871
0.4520,0.9872
0.4525,0.9872
0.4531,0.9872
0.4536,0.9872
0.4541,0.9872
0.4546,0.9872
0.4552,0.9873
0.4557,0.9873
0.4562,0.9873
0.4568,0.9861
0.4573,0.9862
0.4578,0.9862
0.4583,0.9862
0.4589,0.9862
0.4594,0.9862
0.4599,0.9862
0.4604,0.9863
0.4610,0.9863
0.4615,0.9863
0.4620,0.9863
0.4626,0.9863
0.4631,0.9863
0.4636,0.9863
0.4641,0.9864
0.4647,0.9864
0.4652,0.9864
0.4657,0.9864
0.4662,0.9864
0.4668,0.9864
0.4673,0.9865
0.4678,0.9865
0.4684,0.9865
0.4689,0.9865
0.4694,0.9865
0.4699,0.9865
0.4705,0.9865
0.4710,0.9866
0.4715,0.9866
0.4720,0.9866
0.4726,0.9866
0.4731,0.9866
0.4736,0.9866
0.4742,0.9867
0.4747,0.9867
0.4752,0.9867
0.4757,0.9867
0.4763,0.9867
0.4768,0.9856
0.4773,0.9856
0.4778,0.9857
0.4784,0.9857
0.4789,0.9857
0.4794,0.9857
0.4800,0.9857
0.4805,0.9857
0.4810,0.9857
0.4815,0.9858
0.4821,0.9858
0.4826,0.9858
0.4831,0.9858
0.4836,0.9858
0.4842,0.9858
0.4847,0.9859
0.4852,0.9859
0.4858,0.9848
0.4863,0.9848
0.4868,0.9837
0.4873,0.9838
0.4879,0.9838
0.4884,0.9838
0.4889,0.9838
0.4895,0.9838
0.4900,0.9839
0.4905,0.9839
0.4910,0.9839
0.4916,0.9839
0.4921,0.9839
0.4926,0.9839
0.4931,0.9840
0.4937,0.9829
0.4942,0.9819
0.4947,0.9819
0.4953,0.9819
0.4958,0.9819
0.4963,0.9819
0.4968,0.9809
0.4974,0.9809
0.4979,0.9809
0.4984,0.9810
0.4989,0.9810
0.4995,0.9810
0.5000,0.9810
0.5005,0.9810
0.5011,0.9800
0.5016,0.9800
0.5021,0.9800
0.5026,0.9790
0.5032,0.9790
0.5037,0.9791
0.5042,0.9791
0.5047,0.9791
0.5053,0.9791
0.5058,0.9791
0.5063,0.9792
0.5069,0.9792
0.5074,0.9782
0.5079,0.9782
0.5084,0.9782
